source_url,channel_id,channel_slug,channel_title,playlist_count,status
"https://dp1-feed.objkt.com/api/v1/channels/828a7640-bcec-4c9b-af3a-a75d27b3025d","828a7640-bcec-4c9b-af3a-a75d27b3025d","builders-hall-8018","Builders Hall",2,ok
"https://dp1-feed.objkt.com/api/v1/channels/5b441000-6b5d-42ef-a372-ef18ee572fdc","5b441000-6b5d-42ef-a372-ef18ee572fdc","sovreign-9581","SOVREIGN",9,ok
"https://dp1-feed.objkt.com/api/v1/channels/9f2d4b48-0195-4b9b-aa6e-e81c837292b1","9f2d4b48-0195-4b9b-aa6e-e81c837292b1","tezpepe-2615","Tezpepe",2,ok
"https://dp1-feed.objkt.com/api/v1/channels/792d9b19-032e-4289-a188-3c70e7945487","792d9b19-032e-4289-a188-3c70e7945487","actz-gallery-3711","ACTZ Gallery",16,ok
"https://dp1-feed.objkt.com/api/v1/channels/2e273c71-a3e4-4d7b-b7eb-27e739d7c110","2e273c71-a3e4-4d7b-b7eb-27e739d7c110","superchiefnft-8053","SuperchiefNFT",3,ok
"https://dp1-feed.objkt.com/api/v1/channels/003f16a3-983a-4590-a489-d60cd3a6ea86","003f16a3-983a-4590-a489-d60cd3a6ea86","l-avant-galerie-vossen-8817","L'Avant Galerie Vossen",2,ok
"https://dp1-feed.objkt.com/api/v1/channels/355a0a0f-8886-4485-aa7d-a3f2e9c42420","355a0a0f-8886-4485-aa7d-a3f2e9c42420","scene-4913","scene",1,ok
"https://dp1-feed.objkt.com/api/v1/channels/da3120e0-3deb-405a-8afe-face377b8917","da3120e0-3deb-405a-8afe-face377b8917","one-love-art-3580","One Love Art",7,ok
"https://dp1-feed.objkt.com/api/v1/channels/e3275220-1778-45f5-8271-84924a5a3a60","e3275220-1778-45f5-8271-84924a5a3a60","objkt-one-3286","objkt.one",87,ok
"https://dp1-feed.objkt.com/api/v1/channels/f28ad4dc-f801-4f13-b2f0-96c99642dfc5","f28ad4dc-f801-4f13-b2f0-96c99642dfc5","artverse-7439","Artverse",1,ok
"https://dp1-feed.objkt.com/api/v1/channels/3f3263bb-cb02-4a5c-9663-1c7443371c29","3f3263bb-cb02-4a5c-9663-1c7443371c29","objkt-labs-1269","objkt labs",24,ok
"https://dp1-feed.objkt.com/api/v1/channels/0421ba9b-e16d-4656-b204-b87ad1ad86bd","0421ba9b-e16d-4656-b204-b87ad1ad86bd","the-second-guess-2094","The Second-Guess",1,ok
"https://dp1-feed.objkt.com/api/v1/channels/792a8985-bd07-4969-953a-9204a1252de8","792a8985-bd07-4969-953a-9204a1252de8","newtroarts-4143","NewtroArts",6,ok
"https://dp1-feed.objkt.com/api/v1/channels/d566d200-8e65-43ed-a150-6a45ffbf8fe0","d566d200-8e65-43ed-a150-6a45ffbf8fe0","xcollabz-5232","XCOLLABZ",4,ok
